"","AKT","BAD","BCL2_T","BIM_T","ESR1","FOXA1","FOXO3","HER2","HER3_T","IGF1R_T","KMT2D","MAPK","MCL1","mTORC1","MYC","PBX1","PDK1","PI3K","PRAS40","pRb","PTEN","S6K","SGK1_T","mTORC2","CDK46","cycE_CDK2_T","cyclinD","E2F","EIF4F","p21_p27_T","PIM","RAS","TSC"
"MB-0107",0.36428065503113,0.386657831033439,0.485278828253076,0.677073487285256,0.999971735888012,0.659488453317243,0.125744194155216,0.152294972653855,0.138748040222594,0.417760037024548,0.605915349755453,0.160671539138788,0.67762917518619,0.263285529235375,0.594916290620582,0.363411860345409,0.553526878476166,0.995005878139444,0.93376929858242,0.436240017426806,0.10782140178661,0.96156854087225,0.150815814615251,0.263285529235375,0.293320736997682,0.855510317424676,0.393449960034545,0.683805214955096,0.491359150693354,0.824270087750071,0.660684223510673,0.728300480868828,0.543308647454415
"MB-0108",0.108864809533606,0.643385344126363,0.484693256606003,0.528945061517397,0.920236229015251,0.0819406791600239,0.511727700607885,0.0480938099440757,0.0895127341281077,0.414895867845994,0.688950177214961,0.922609551260787,0.437421675650383,0.0667792437013343,0.159760882274151,0.199634362743033,0.0801694881513334,0.998004082442598,0.590902883587328,0.791657789539206,0.752032297120806,0.987793627481566,0.590561088621864,0.0667792437013343,0.64181537333561,0.595778995923726,0.496491922205267,0.55960205651717,0.333036179858753,0.66824648438917,0.69376122834254,0.507122335381405,0.315257100220618
"MB-0109",0.705573479835377,0.270979228728846,0.328058616900341,0.754299310357782,0.998737539062879,0.516388661069654,0.2850883475259,0.402090011442103,0.344404536174195,0.6293388674439,0.172201249653297,0.906753613017846,0.612102767915846,0.661693631815617,0.851187895057905,0.226257223239351,0.47598138465002,0.820223633055978,0.328150264873199,0.51972004092976,0.482299169914107,0.507972833620969,0.419554927948932,0.661693631815617,0.589667813655096,0.722447494870675,0.346350140320137,0.68711831237738,0.521924185246136,0.416079993095031,0.81373241275098,0.744292915048915,0.215340942404303
"MB-0111",0.218602410563992,0.451315703498377,0.731787749944064,0.0710530912615243,0.999983594599457,0.631550575183848,0.394865611439944,0.525598271956785,0.25841316343673,0.547734207393835,0.428314520000912,0.521750995657884,0.742288499651885,0.474035031518332,0.326060127195566,0.36420980703043,0.76303993329387,0.492129795473097,0.560913300922552,0.595762966338906,0.724161813825444,0.363943339918164,0.675810329131619,0.474035031518332,0.480519081211665,0.251974454402867,0.454448184698468,0.343248545866837,0.426916458963876,0.690294676443276,0.383098673608601,0.241833836713321,0.478868661497536
"MB-0112",0.783574891883977,0.630612639215978,0.671563090476425,0.609359571414074,0.97660193364594,0.558261885722578,0.19342211649095,0.232974723276091,0.456849767557436,0.0800663512374729,0.751351746577427,0.447763901586668,0.373465039237831,0.261405256200044,0.186857960149727,0.371288875196391,0.406640096268013,0.179568204023635,0.693287481321863,0.512179028506198,0.205658327831528,0.245845974368855,0.481418672076506,0.261405256200044,0.399006924760402,0.296413265639509,0.420950847776263,0.383336128563536,0.364746679546725,0.66156540711384,0.510618074300037,0.652448272591965,0.286937946000049
"MB-0113",0.769439552734572,0.556657059369857,0.397525221295273,0.306638498818064,0.00628238466897847,0.680060299393135,0.723105957703677,0.99286797646325,0.762070136731607,0.150916481594956,0.676202859609955,0.176539862552216,0.747165763030896,0.0937542176847024,0.29034520294708,0.789562899755032,0.274538609279824,0.403372943913217,0.384255053667161,0.332337092439729,0.798984658697618,0.466356003463876,0.420427569938107,0.0937542176847024,0.70992992928598,0.571458271404742,0.572717979127194,0.554186821881556,0.609263211800863,0.682874914284111,0.307915496980347,0.506328777422896,0.296937328985528
"MB-0114",0.586280171955871,0.384593741078227,0.713277342394352,0.434219687256006,0.999961666688343,0.698066584604592,0.613776420216888,0.801588359141557,0.733298107332827,0.633897694742614,0.656002797852028,0.429791932234966,0.558841348342663,0.778711757222183,0.638185896453107,0.599187173844085,0.652033090871275,0.482084913705588,0.657693209374528,0.42745436716395,0.418331892591797,0.330329672797852,0.319080888599188,0.778711757222183,0.499068656515589,0.442229173099769,0.404532265375418,0.438946901486432,0.541778673977261,0.602582457223251,0.432322799666503,0.458030987407655,0.631072610402053
"MB-0115",0.247405172152467,0.523386534182995,0.192639619636593,0.662480589801789,3.91407581959751e-06,0.000126120060898932,0.658253908445362,0.203339041804686,0.112237873618044,0.125907007138965,0.50358045314796,0.751296122955802,0.83472358435113,0.283292521506279,0.777942698283089,0.609387376899988,0.215128237557786,0.53591356113374,0.709717441324877,0.204669888155803,0.0579117709977478,0.387196171486141,0.89023265459347,0.283292521506279,0.945473427019688,0.818381076055007,0.419606665933129,0.675620091505124,0.60729472101614,0.516781153063647,0.61015947154672,0.67938274256322,0.149695430892542
"MB-0116",0.338545779057755,0.198463717498361,0.732359492378717,0.100702959796193,0.999932885265329,0.586934523588869,0.404764609122661,0.471915675669706,0.298938318909372,0.610864882712816,0.711332264501716,0.16713773751059,0.60169782642237,0.430470016690846,0.781569826205023,0.260434516527977,0.60781959686663,0.834210643770017,0.220306805503633,0.599683897445706,0.791448672698444,0.41741831295719,0.596260175548689,0.430470016690846,0.59798156919805,0.528235127450926,0.593341455127464,0.471411753267199,0.561236485871377,0.806525277075618,0.424411652798487,0.556080651946484,0.247039103724377
"MB-0117",0.380912554016566,0.722848052616417,0.518473831434701,0.410115213786597,0.999875518351041,0.623658244925926,0.682664369868924,0.358523052830484,0.749460785099951,0.675388778069881,0.430973163388679,0.282703661743278,0.595461290057599,0.499849316308579,0.43106108282319,0.395671469678238,0.723136839217689,0.340462841429376,0.575778761530235,0.460234971785245,0.323061245693421,0.985017474954799,0.685703679355073,0.499849316308579,0.448073799082941,0.534802328963347,0.520231797494229,0.464938375581457,0.534722157510015,0.233240440352662,0.627676264637512,0.558912868738084,0.449428425672534
"MB-0119",0.59896373864304,0.944259490728093,0.62801610299487,0.165108311127336,0.999999317763928,0.528603095464143,0.0905169382750521,0.678509329425757,0.481911738085755,0.603705676354578,0.880186610440903,0.459348645095533,0.38115426765499,0.454581325425476,0.644338906950053,0.104702504519119,0.921729678888422,0.479855425828453,0.534725941823711,0.519280702671727,0.0940201392641718,0.252259470317464,0.552257499518049,0.454581325425476,0.439988099372606,0.365531868056511,0.439017698239485,0.350971365380229,0.548213017736067,0.533566875045081,0.479148774100828,0.668111996381951,0.293123646009325
"MB-0120",0.328092531923674,0.3044050594694,0.298267602004273,0.383881027734868,0.635932665653982,0.539717108903176,0.976295847311189,0.919229749494579,0.499384688171184,0.391525619771518,0.59126172044868,0.554023733947244,0.576920135396598,0.42320412752954,0.807962908595645,0.694424636517811,0.573332616037256,0.897772831152954,0.542447344004212,0.5411877239528,0.317284668370243,0.884410690861388,0.637340821539657,0.42320412752954,0.630700427217058,0.418362382062503,0.35405625233859,0.477932317011733,0.449320864306204,0.803415363909852,0.567273335487239,0.456377568890633,0.410890271281778
"MB-0121",0.435411488584386,0.777318665284247,0.517599540079019,0.715313908563286,0.999970564036276,0.560683356134986,0.141766753318969,0.558122481567801,0.305855406982659,0.558362353797896,0.223794586698341,0.552180493239272,0.809370333254425,0.16971460955928,0.649368224239798,0.654705634175973,0.784268938483722,0.160215488408593,0.146292895194702,0.950430463936103,0.5120906797628,0.337574583196534,0.589860732055458,0.16971460955928,0.400735870717668,0.367126719508412,0.480284223115151,0.389372905025337,0.548259279130725,0.720659277111073,0.406364917493883,0.357403355492131,0.306602803271994
"MB-0122",0.512810113375231,0.75967500570231,0.575323397577816,0.692118988367515,0.999879953584395,0.779036228867308,0.478761345144045,0.697932673961642,0.74802965507553,0.458399858891677,0.580336321233602,0.254457600212589,0.900971466195609,0.527293230131956,0.363776761892402,0.762381296695596,0.886232815665841,0.582639272220156,0.392139058535894,0.685606437049325,0.389058202784457,0.257382190198399,0.584223046438026,0.527293230131956,0.528046560675009,0.259202214414122,0.41100073144344,0.313044152137719,0.52649147241967,0.517972682754793,0.274237272654183,0.352618137307826,0.660005445902745
