HGNC ID	Approved Symbol	Entrez Gene ID
1080	POLR3D	661
1081	BNC1	646
1082	BNIP1	662
1083	BNIP2	663
1084	BNIP3	664
1085	BNIP3L	665
1087	BOK	666
1090	DST	667
1092	FOXL2	668
1093	BPGM	669
1094	BPHL	670
1095	BPI	671
1096	BPNT1	10380
1097	BRAF	673
1099	BRAP	8315
1100	BRCA1	672
1101	BRCA2	675
1102	BRD1	23774
1103	BRD2	6046
1104	BRD3	8019
1105	BRDT	676
1106	BABAM2	9577
1107	ZFP36L1	677
1108	ZFP36L2	678
1109	BRI3	25798
1112	NCAPH	23397
1113	BRS3	680
1116	BSG	682
1117	BSN	8927
1118	BST1	683
1119	BST2	684
1120	BTBD1	53339
1121	BTC	685
1122	BTD	686
1123	KLF9	687
1125	BTF3	689
1126	BTF3P11	690
1127	BTF3P12	652963
1128	BTF3P13	132556
1129	BTF3P1	693
1130	BTG1	694
1131	BTG2	7832
1132	BTG3	10950
1133	BTK	695
1135	BTN1A1	696
1136	BTN2A1	11120
1137	BTN2A2	10385
1138	BTN3A1	11119
1139	BTN3A2	11118
1140	BTN3A3	10384
1142	BTNL2	56244
1143	BTNL3	10917
1144	BTRC	8945
1145	FBXW11P1	54099
1147	BTS1	698
1148	BUB1	699
1149	BUB1B	701
1151	BUB3	9184
1152	BVES	11149
1153	BVR1	
1157	BYSL	705
1158	TSPO	706
1160	TWNK	56652
1161	CEP55	55165
1162	FRA10AC1	118924
1163	C11orf1	64776
1164	TMEM258	746
1165	DAGLA	747
1166	RASSF7	8045
1167	NRIP3	56675
1168	TMEM9B	56674
1169	C11orf16	56673
1170	AKIP1	56672
1171	ELP4	26610
1172	VPS51	738
1173	PPP6R3	55291
1174	C11orf24	53838
1176	MRPL49	740
1177	ZNHIT2	741
1180	MPPED2	744
1181	MYRF	745
1183	ANO2	57101
1184	C12orf4	57102
1185	TIGAR	57103
1186	PARP11	57097
1187	ERG28	11161
1188	C14orf2	9556
1189	AHSA1	10598
1190	NPAP1	23742
1191	EID1	23741
1192	MRPL46	26589
1193	LINC00597	81698
1197	GAS8-AS1	750
1211	FBXW10	10517
1212	FMNL1	752
1217	CCDC90AP1	53383
1220	SMG6-IT1	53400
1224	LDLRAD4	753
1225	LINC00470	56651
1226	GIPC1	10755
1228	SERPING1	710
1229	ERC2-IT1	711
1230	CRNN	49860
1232	EGLN1	54583
1233	FAM189B	10712
1237	UBQLN4	56893
1239	TMEM59	9528
1240	SUCO	51430
1241	C1QA	712
1242	C1QB	713
1243	C1QBP	708
1244	C1QBPP1	54098
1245	C1QC	714
1246	C1R	715
1247	C1S	716
1248	C2	717
1249	TPX2	22974
1253	FAM3B	54097
1255	LCA5L	150082
1258	SETD4	54093
1260	C21orf2	755
1262	LINC00111	54090
1263	LINC00112	54089
1264	LINC00113	54088
1265	LINC00114	400866
1266	C2CD2	25966
1268	TSPEAR	54084
1270	LRRC3DN	54083
1271	TSPEAR-AS1	54082
1273	C21orf33	8209
1274	MIR99AHG	388815
1277	LINC01549	100505929
1279	CHODL-AS1	54075
1280	TMEM50B	757
1282	GRIK1-AS2	100379661
1283	LINC00158	54072
1285	LINC00159	
1286	MIS18A	54069
1290	C21orf62-AS1	54067
1291	DOPEY2	9980
1293	SMIM11A	54065
1294	LINC00160	54064
1296	LINC01548	728409
1297	DNAJC28	54943
1298	SPATC1L	84221
1299	YBEY	54059
1300	C21orf58	54058
1301	C21orf59	56683
1302	RWDD2B	10069
1304	MRAP	56246
1305	C21orf62	56245
1306	MPPED1	758
1307	CBY1	25776
1308	RHBDD3	25807
1309	TBC1D22A	25771
1310	TMEM184B	25829
1312	TTLL1	25809
1313	FAM118A	55007
1314	KIAA0930	23313
1316	EML4	27436
1317	GCFC2	6936
1318	C3	718
1319	C3AR1	719
1320	C3CER1	23739
1321	TIMMDC1	51300
1322	CLDND1	56650
1323	C4A	720
1324	C4B	721
1325	C4BPA	722
1326	C4BPAP1	727859
1327	C4BPAP2	724
1328	C4BPB	725
1329	SLC30A9	10463
1330	MYOZ2	51778
1331	C5	727
1332	OFD1P17	23738
1333	FAM114A2	10827
1334	FAXDC2	10826
