n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
155 MB-4331 19.98 0.648 0.495 0.727 0.312 0.504694 0.989 0.221 0.245 0.877 0.493 0.0112
156 MB-3341 19.98 0.425 0.495 0 0.579 0.49 0.854 0.317 1 0.732 0.493 0.0122
157 MB-0452 19.98 0.046 0.495 0 0.822 0.499336 0.867 0.552 1 1 0.493 0.0044
158 MB-4017 19.98 0.226 0.495 0.871 0.066 0.464 0.995 0.162 0.116 0.901 0.493 0.0285
159 MB-5603 19.98 0.055 0.495 0.582 0.568 0.527 0.83535 0.457 0.42 1 0.493 0.025
160 MB-2758 19.98 0.006 0.495 0 0.806796 0.933107 0.365 0.883 1 1 0.493 0.0022
161 MB-5334 19.98 0.072 0.495 0.773 0.371 0.456 0.979 0.415 0.228 1 0.493 0.0066
162 MB-5014 19.98 0.034 0.495 0.569 0.344 0.510654 0.761987 0.125 0.433 1 0.493 0.0068
163 MB-5580 19.98 0.002 0.495 0.622926 0.377 0.33 0.929 0.32 0.38 1 0.493 0.0235
164 MB-0638 19.98 0.007 0.495 0.557 0.584616 0.579 0.729 0.344 0.442 1 0.493 0.0147
165 MB-5560 19.99 0.809 0.495 0 0.895 0.588 0.766 0.213 0.855 0.846 0.493 0.2314
166 MB-0014 19.98 0 0.495 0.886 0.122 0.854 0.999 0.023 0.116 1 0.493 0.0071
167 MB-2797 19.98 0.059 0.495 0.741 0.139 0.705739 0.998 0.077 0.164 0.527 0.493 0.0079
168 MB-5110 19.98 0.042 0.495 0.707 0.557 0.715 0.829 0.469 0.28988 1 0.493 0.0108
169 MB-7002 19.98 0.005 0.495 0.691 0.444 0.58 0.373 0.417 0.312 1 0.493 0.0086
170 MB-4704 19.98 0.241 0.495 0.48 0.627 0.379 0.944 0.37 0.51 0.973 0.493 0.036
171 MB-4999 19.98 0.215 0.495 0.455 0.705563 0.378 0.573 0.544 0.442 0.741 0.493 0.0291
172 MB-0147 19.99 0.746 0.495 0.917 0.04 0.136 0.517 0.535 0.056 0.620814 0.493 0.1319
173 MB-3103 19.98 0.036752 0.495 0.901 0.620381 0.724 0.956 0.56947 0.088 0.953 0.493 0.0671
174 MB-3092 19.98 0.033 0.495 0.663 0.224176 0.475402 0.969 0.361 0.293732 0.831 0.493 0.0413
175 MB-5614 19.98 0.043 0.495 0 0.986 0.695373 0.215 0.998 1 1 0.493 0.001
176 MB-4353 19.98 0.10652 0.495 0.442 0.481679 0.089056 0.243 0.545 0.565 1 0.493 0.0203
177 MB-4853 19.98 0.027 0.495 0.754 0.315 0.567 0.958 0.217 0.147 0.473 0.493 0.0015
178 MB-0897 19.98 0.088 0.495 0.56 0.444 0.459 0.956 0.51 0.443 1 0.493 0.0121
179 MB-5130 19.98 0.06 0.495 0 1 0.779 0.923 1 1 1 0.493 0
180 MB-0285 19.98 0.001 0.495 0 0.756 0.785 0.935 0.105 1 1 0.493 0.0675
181 MB-7054 19.99 0.618 0.495 0 0.829 0.557 0.634 0.991 0.671 0.539 0.493 0.0328
182 MB-0269 19.99 0 0.495 0.923 0.455 0.908 0.955282 0.008 0.08 0.978 0.493 0.0132
183 MB-4959 19.98 0.150814 0.495 0.511 0.505 0.615 0.835 0.421 0.493 1 0.493 0.0325
184 MB-0464 19.99 0.32714 0.495 0 0.941 0.85 0.786 0.505 0.629 0.633157 0.493 0.053
185 MB-7230 19.98 0 0.495 0.914 0.339 0.632 0.96 0.093 0.085 1 0.493 0.0028
186 MB-2845 19.99 0.004 0.495 0.361 0.601 0.511 0.989 0.25 0.647 1 0.493 0.0068
187 MB-2754 19.98 0 0.495 0.885 0.155 0.651 0.998 0.079 0.086 0.69517 0.493 0.007
188 MB-7260 19.99 0.424699 0.495 0 0.894 0.509 0.908 0.99 0.8707 0.86 0.493 0.0135
189 MB-4407 19.99 0.863 0.495 0 0.953 0.501 0.967 0.542 0.991 0.99 0.493 0.03
190 MB-5407 19.98 0.023 0.495 0.663 0.63 0.668 0.193 0.398 0.218 0.599 0.493 0.033
191 MB-6100 19.99 0.18 0.495 0 0.869 0.958 0.453208 0.401 0.999 1 0.493 0.0489
192 MB-2846 19.98 0.567 0.495 0 0.931 0.770142 0.753 1 1 1 0.493 0
193 MB-0554 19.98 0.005 0.495 0.748 0.276 0.596 0.985 0.166 0.256 1 0.493 0.0071
194 MB-3378 19.98 0.003 0.495 0.841 0.261 0.754 0.508 0.089 0.165 1 0.493 0.0151
195 MB-0655 19.98 0.013 0.495 0.614 0.285 0.669 0.901 0.191 0.376993 1 0.493 0.0246
196 MB-7004 19.98 0 0.495 0.95 0.188429 0.459577 0.942 0.04 0.009 0.110517 0.493 0.0051
197 MB-0619 19.98 0.125 0.495 0.619 0.36 0.823 0.769 0.319 0.325 0.711 0.493 0.005
198 MB-7045 19.99 0.045 0.495 0 0.878 0.94 0.764 0.852 0.727 0.617 0.493 0.0057
199 MB-5261 19.98 0.035 0.495 0.549 0.340267 0.544 0.963 0.215 0.284 0.516 0.493 0.0065
200 MB-6334 19.99 0.671351 0.495 0 0.804 0.611 0.883 0.995 1 1 0.493 0.0051
201 MB-0107 19.99 0.309068 0.495 0 0.834 0.583 0.964 0.995 0.999 0.992 0.493 0.0075
202 MB-0570 19.99 0.159 0.495 0 0.826 0.699 0.986 0.531 1 1 0.493 0.0067
203 MB-0596 19.98 0.006 0.495 0.659111 0.411 0.521 0.844013 0.507 0.342 1 0.493 0.0178
204 MB-5540 19.99 0.61196 0.495 0 0.898 0.632 0.834 0.958 0.633 0.579 0.493 0.0067
205 MB-4003 19.99 0.793 0.495 0 0.87 0.414 0.932 0.995 0.862 0.738981 0.493 0.0097
206 MB-5626 19.98 0.012 0.495 0.829 0.262 0.329 0.643 0.228056 0.182 1 0.493 0.0158
207 MB-5414 19.98 0.224555 0.495 0 0.899 0.776 0.345909 0.994 0.862 0.82 0.493 0.0145
208 MB-0193 19.98 0.123 0.495 0.796 0.229 0.324 0.961 0.052 0.199 1 0.493 0.009
209 MB-7022 19.98 0.004 0.495 0.934 0.296717 0.581 0.855 0.089 0.061 1 0.493 0.0084
210 MB-7283 19.99 0.229 0.495 0 0.906 0.445163 0.803 1 1 1 0.493 0.001
211 MB-6208 19.98 0.137 0.495 0.470051 0.714 0.393 0.258 0.546 0.532 1 0.493 0.0367
212 MB-0505 19.98 0.02 0.495 0.565 0.639 0.543 0.355 0.435 0.432 1 0.493 0.0169
213 MB-5064 19.98 0.09 0.495 0.464 0.716 0.694393 0.358 0.515 0.484 0.866 0.493 0.0088
214 MB-4357 19.99 0.754 0.495 0 0.908 0.442 0.568 1 1 1 0.493 0.002
215 MB-7236 19.99 0.067 0.495 0.664 0.201 0.659 0.773 0.274 0.164 0.428 0.493 0.0277
216 MB-5530 19.99 0.489 0.495 0.617 0.778 0.534 0.149 0.51 0.335739 0.725 0.493 0.0191
217 MB-3046 19.98 0.006 0.495 0 0.995 0.777697 0.796 1 1 1 0.493 8e-04
218 MB-5182 19.98 0.097 0.495 0.535 0.426 0.299 0.834 0.47 0.468897 1 0.493 0.0126
219 MB-5440 19.99 0.566 0.495 0 0.986 0.636 0.205 0.37 0.926 0.92 0.493 0.0111
